1,67278,11
2,20681,3.8
3,15044,4.4
4,11501,7.1
5,7641,5.5
6,147646,13.6
7,15052,4.7
8,15937,5.6
9,12169,8
10,21168,6.9
11,30804,8.5
12,12325,4.5
13,201145,10.1
14,21313,3.1
15,2932,2
16,17933,5.1
17,20136,3.2
18,15348,4.9
19,12932,5.4
2A,14451,9.9
2B,17625,10.3
21,33975,6.4
22,17183,2.9
23,5414,4.5
24,25676,6.2
25,40646,7.7
26,33941,6.9
27,26392,4.5
28,26691,6.2
29,23024,2.6
30,63509,8.8
31,117184,9.2
32,12556,6.6
33,94307,6.4
34,101926,9.5
35,35915,3.6
36,8460,3.7
37,32257,5.4
38,115538,9.4
39,14697,5.6
40,18208,4.6
41,18081,5.5
42,58710,7.8
43,7126,3.2
44,50804,3.9
45,58031,8.8
46,11391,6.5
47,28949,8.7
48,3498,4.5
49,28001,3.5
50,10512,2.1
51,31547,5.5
52,6903,3.8
53,8901,2.9
54,57325,7.8
55,8596,4.5
56,19555,2.7
57,106354,10.2
58,9770,4.5
59,158251,6.1
60,59106,7.3
61,10296,3.6
62,32022,2.2
63,42337,6.6
64,45502,6.9
65,14191,6.2
66,45726,10
67,112224,10.2
68,86661,11.5
69,203891,11.6
70,10560,4.4
71,34962,6.3
72,18347,3.2
73,31067,7.4
74,88864,11.7
75,455650,20.3
76,58112,4.6
77,166515,12.3
78,179687,12.7
79,13090,3.5
80,18650,3.3
81,23618,6.2
82,20429,8.3
83,75497,7.4
84,56381,10.3
85,13354,2.1
86,19294,4.5
87,24967,6.6
88,15624,4.1
89,21538,6.3
90,12867,8.9
91,176293,14.2
92,271095,17.1
93,436564,28.4
94,263317,19.6
95,211093,17.8